Country,Sector,Gas,Unit,Year,Emissions
World,Industrial Processes,All GHG,MtCO₂e,2021,3260.35
China,Industrial Processes,All GHG,MtCO₂e,2021,1273.86
United States,Industrial Processes,All GHG,MtCO₂e,2021,250.3
India,Industrial Processes,All GHG,MtCO₂e,2021,178.61
European Union (27),Industrial Processes,All GHG,MtCO₂e,2021,147.23
Saudi Arabia,Industrial Processes,All GHG,MtCO₂e,2021,121.9
Thailand,Industrial Processes,All GHG,MtCO₂e,2021,97.77
South Korea,Industrial Processes,All GHG,MtCO₂e,2021,87.16
Vietnam,Industrial Processes,All GHG,MtCO₂e,2021,71.47
Japan,Industrial Processes,All GHG,MtCO₂e,2021,61.76
World,Industrial Processes,All GHG,MtCO₂e,2020,3132.69
China,Industrial Processes,All GHG,MtCO₂e,2020,1252.49
United States,Industrial Processes,All GHG,MtCO₂e,2020,243.52
India,Industrial Processes,All GHG,MtCO₂e,2020,149.37
European Union (27),Industrial Processes,All GHG,MtCO₂e,2020,150.61
Saudi Arabia,Industrial Processes,All GHG,MtCO₂e,2020,114.02
Thailand,Industrial Processes,All GHG,MtCO₂e,2020,93.56
South Korea,Industrial Processes,All GHG,MtCO₂e,2020,81.51
Vietnam,Industrial Processes,All GHG,MtCO₂e,2020,68.87
Japan,Industrial Processes,All GHG,MtCO₂e,2020,61.79
World,Industrial Processes,All GHG,MtCO₂e,2019,3070.7
China,Industrial Processes,All GHG,MtCO₂e,2019,1213.39
United States,Industrial Processes,All GHG,MtCO₂e,2019,238.67
India,Industrial Processes,All GHG,MtCO₂e,2019,168.55
European Union (27),Industrial Processes,All GHG,MtCO₂e,2019,160.55
Saudi Arabia,Industrial Processes,All GHG,MtCO₂e,2019,105.76
Thailand,Industrial Processes,All GHG,MtCO₂e,2019,85.7
South Korea,Industrial Processes,All GHG,MtCO₂e,2019,80.63
Vietnam,Industrial Processes,All GHG,MtCO₂e,2019,64.36
Japan,Industrial Processes,All GHG,MtCO₂e,2019,65.25
World,Industrial Processes,All GHG,MtCO₂e,2018,2955.2
China,Industrial Processes,All GHG,MtCO₂e,2018,1150.09
United States,Industrial Processes,All GHG,MtCO₂e,2018,231.67
India,Industrial Processes,All GHG,MtCO₂e,2018,162.24
European Union (27),Industrial Processes,All GHG,MtCO₂e,2018,167.38
Saudi Arabia,Industrial Processes,All GHG,MtCO₂e,2018,99.01
Thailand,Industrial Processes,All GHG,MtCO₂e,2018,77.63
South Korea,Industrial Processes,All GHG,MtCO₂e,2018,77.46
Vietnam,Industrial Processes,All GHG,MtCO₂e,2018,56.48
Japan,Industrial Processes,All GHG,MtCO₂e,2018,68.72
World,Industrial Processes,All GHG,MtCO₂e,2017,2863.31
China,Industrial Processes,All GHG,MtCO₂e,2017,1128.59
United States,Industrial Processes,All GHG,MtCO₂e,2017,227.96
India,Industrial Processes,All GHG,MtCO₂e,2017,142.62
European Union (27),Industrial Processes,All GHG,MtCO₂e,2017,172.86
Saudi Arabia,Industrial Processes,All GHG,MtCO₂e,2017,90.61
Thailand,Industrial Processes,All GHG,MtCO₂e,2017,69.32
South Korea,Industrial Processes,All GHG,MtCO₂e,2017,76.17
Vietnam,Industrial Processes,All GHG,MtCO₂e,2017,48.59
Japan,Industrial Processes,All GHG,MtCO₂e,2017,71.59
World,Industrial Processes,All GHG,MtCO₂e,2016,2797.55
China,Industrial Processes,All GHG,MtCO₂e,2016,1106.88
United States,Industrial Processes,All GHG,MtCO₂e,2016,222.02
India,Industrial Processes,All GHG,MtCO₂e,2016,143.31
European Union (27),Industrial Processes,All GHG,MtCO₂e,2016,177.5
Saudi Arabia,Industrial Processes,All GHG,MtCO₂e,2016,88.21
Thailand,Industrial Processes,All GHG,MtCO₂e,2016,61.75
South Korea,Industrial Processes,All GHG,MtCO₂e,2016,73.55
Vietnam,Industrial Processes,All GHG,MtCO₂e,2016,41.69
Japan,Industrial Processes,All GHG,MtCO₂e,2016,73.75
World,Industrial Processes,All GHG,MtCO₂e,2015,2699.83
China,Industrial Processes,All GHG,MtCO₂e,2015,1075.58
United States,Industrial Processes,All GHG,MtCO₂e,2015,221.22
India,Industrial Processes,All GHG,MtCO₂e,2015,135.89
European Union (27),Industrial Processes,All GHG,MtCO₂e,2015,177.42
Saudi Arabia,Industrial Processes,All GHG,MtCO₂e,2015,81.73
Thailand,Industrial Processes,All GHG,MtCO₂e,2015,50.48
South Korea,Industrial Processes,All GHG,MtCO₂e,2015,69.72
Vietnam,Industrial Processes,All GHG,MtCO₂e,2015,38.18
Japan,Industrial Processes,All GHG,MtCO₂e,2015,70.38
World,Industrial Processes,All GHG,MtCO₂e,2014,2702.9
China,Industrial Processes,All GHG,MtCO₂e,2014,1104.13
United States,Industrial Processes,All GHG,MtCO₂e,2014,219.36
India,Industrial Processes,All GHG,MtCO₂e,2014,133.32
European Union (27),Industrial Processes,All GHG,MtCO₂e,2014,182.79
Saudi Arabia,Industrial Processes,All GHG,MtCO₂e,2014,76.59
Thailand,Industrial Processes,All GHG,MtCO₂e,2014,46.68
South Korea,Industrial Processes,All GHG,MtCO₂e,2014,68.18
Vietnam,Industrial Processes,All GHG,MtCO₂e,2014,36.19
Japan,Industrial Processes,All GHG,MtCO₂e,2014,67.62
World,Industrial Processes,All GHG,MtCO₂e,2013,2588.77
China,Industrial Processes,All GHG,MtCO₂e,2013,1058.98
United States,Industrial Processes,All GHG,MtCO₂e,2013,209.35
India,Industrial Processes,All GHG,MtCO₂e,2013,124.45
European Union (27),Industrial Processes,All GHG,MtCO₂e,2013,177.33
Saudi Arabia,Industrial Processes,All GHG,MtCO₂e,2013,69.64
Thailand,Industrial Processes,All GHG,MtCO₂e,2013,42.36
South Korea,Industrial Processes,All GHG,MtCO₂e,2013,66.41
Vietnam,Industrial Processes,All GHG,MtCO₂e,2013,33.43
Japan,Industrial Processes,All GHG,MtCO₂e,2013,63.76
World,Industrial Processes,All GHG,MtCO₂e,2012,2474.16
China,Industrial Processes,All GHG,MtCO₂e,2012,1002.33
United States,Industrial Processes,All GHG,MtCO₂e,2012,210.15
India,Industrial Processes,All GHG,MtCO₂e,2012,115.99
European Union (27),Industrial Processes,All GHG,MtCO₂e,2012,180.58
Saudi Arabia,Industrial Processes,All GHG,MtCO₂e,2012,61.47
Thailand,Industrial Processes,All GHG,MtCO₂e,2012,38.69
South Korea,Industrial Processes,All GHG,MtCO₂e,2012,64.89
Vietnam,Industrial Processes,All GHG,MtCO₂e,2012,30.84
Japan,Industrial Processes,All GHG,MtCO₂e,2012,59.8
World,Industrial Processes,All GHG,MtCO₂e,2011,2390.39
China,Industrial Processes,All GHG,MtCO₂e,2011,975.36
United States,Industrial Processes,All GHG,MtCO₂e,2011,217.0
India,Industrial Processes,All GHG,MtCO₂e,2011,106.23
European Union (27),Industrial Processes,All GHG,MtCO₂e,2011,184.19
Saudi Arabia,Industrial Processes,All GHG,MtCO₂e,2011,53.11
Thailand,Industrial Processes,All GHG,MtCO₂e,2011,34.65
South Korea,Industrial Processes,All GHG,MtCO₂e,2011,63.42
Vietnam,Industrial Processes,All GHG,MtCO₂e,2011,30.56
Japan,Industrial Processes,All GHG,MtCO₂e,2011,56.1
World,Industrial Processes,All GHG,MtCO₂e,2010,2237.26
China,Industrial Processes,All GHG,MtCO₂e,2010,885.58
United States,Industrial Processes,All GHG,MtCO₂e,2010,204.59
India,Industrial Processes,All GHG,MtCO₂e,2010,100.08
European Union (27),Industrial Processes,All GHG,MtCO₂e,2010,185.92
Saudi Arabia,Industrial Processes,All GHG,MtCO₂e,2010,46.45
Thailand,Industrial Processes,All GHG,MtCO₂e,2010,31.42
South Korea,Industrial Processes,All GHG,MtCO₂e,2010,61.89
Vietnam,Industrial Processes,All GHG,MtCO₂e,2010,25.72
Japan,Industrial Processes,All GHG,MtCO₂e,2010,53.32
World,Industrial Processes,All GHG,MtCO₂e,2009,2099.3
China,Industrial Processes,All GHG,MtCO₂e,2009,808.64
United States,Industrial Processes,All GHG,MtCO₂e,2009,190.55
India,Industrial Processes,All GHG,MtCO₂e,2009,94.85
European Union (27),Industrial Processes,All GHG,MtCO₂e,2009,193.84
Saudi Arabia,Industrial Processes,All GHG,MtCO₂e,2009,43.21
Thailand,Industrial Processes,All GHG,MtCO₂e,2009,30.43
South Korea,Industrial Processes,All GHG,MtCO₂e,2009,59.26
Vietnam,Industrial Processes,All GHG,MtCO₂e,2009,21.0
Japan,Industrial Processes,All GHG,MtCO₂e,2009,52.02
World,Industrial Processes,All GHG,MtCO₂e,2008,2051.56
China,Industrial Processes,All GHG,MtCO₂e,2008,730.0
United States,Industrial Processes,All GHG,MtCO₂e,2008,208.91
India,Industrial Processes,All GHG,MtCO₂e,2008,86.35
European Union (27),Industrial Processes,All GHG,MtCO₂e,2008,220.7
Saudi Arabia,Industrial Processes,All GHG,MtCO₂e,2008,38.97
Thailand,Industrial Processes,All GHG,MtCO₂e,2008,30.0
South Korea,Industrial Processes,All GHG,MtCO₂e,2008,58.9
Vietnam,Industrial Processes,All GHG,MtCO₂e,2008,16.93
Japan,Industrial Processes,All GHG,MtCO₂e,2008,55.27
World,Industrial Processes,All GHG,MtCO₂e,2007,2006.9
China,Industrial Processes,All GHG,MtCO₂e,2007,698.16
United States,Industrial Processes,All GHG,MtCO₂e,2007,221.72
India,Industrial Processes,All GHG,MtCO₂e,2007,80.97
European Union (27),Industrial Processes,All GHG,MtCO₂e,2007,234.5
Saudi Arabia,Industrial Processes,All GHG,MtCO₂e,2007,32.35
Thailand,Industrial Processes,All GHG,MtCO₂e,2007,31.38
South Korea,Industrial Processes,All GHG,MtCO₂e,2007,57.23
Vietnam,Industrial Processes,All GHG,MtCO₂e,2007,15.44
Japan,Industrial Processes,All GHG,MtCO₂e,2007,56.19
World,Industrial Processes,All GHG,MtCO₂e,2006,1878.44
China,Industrial Processes,All GHG,MtCO₂e,2006,632.32
United States,Industrial Processes,All GHG,MtCO₂e,2006,208.39
India,Industrial Processes,All GHG,MtCO₂e,2006,77.08
European Union (27),Industrial Processes,All GHG,MtCO₂e,2006,224.22
Saudi Arabia,Industrial Processes,All GHG,MtCO₂e,2006,28.13
Thailand,Industrial Processes,All GHG,MtCO₂e,2006,29.42
South Korea,Industrial Processes,All GHG,MtCO₂e,2006,60.02
Vietnam,Industrial Processes,All GHG,MtCO₂e,2006,13.45
Japan,Industrial Processes,All GHG,MtCO₂e,2006,56.95
World,Industrial Processes,All GHG,MtCO₂e,2005,1746.61
China,Industrial Processes,All GHG,MtCO₂e,2005,552.88
United States,Industrial Processes,All GHG,MtCO₂e,2005,204.42
India,Industrial Processes,All GHG,MtCO₂e,2005,71.39
European Union (27),Industrial Processes,All GHG,MtCO₂e,2005,223.15
Saudi Arabia,Industrial Processes,All GHG,MtCO₂e,2005,24.84
Thailand,Industrial Processes,All GHG,MtCO₂e,2005,27.24
South Korea,Industrial Processes,All GHG,MtCO₂e,2005,58.14
Vietnam,Industrial Processes,All GHG,MtCO₂e,2005,12.98
Japan,Industrial Processes,All GHG,MtCO₂e,2005,54.71
World,Industrial Processes,All GHG,MtCO₂e,2004,1650.03
China,Industrial Processes,All GHG,MtCO₂e,2004,492.82
United States,Industrial Processes,All GHG,MtCO₂e,2004,199.03
India,Industrial Processes,All GHG,MtCO₂e,2004,67.2
European Union (27),Industrial Processes,All GHG,MtCO₂e,2004,220.25
Saudi Arabia,Industrial Processes,All GHG,MtCO₂e,2004,24.36
Thailand,Industrial Processes,All GHG,MtCO₂e,2004,24.93
South Korea,Industrial Processes,All GHG,MtCO₂e,2004,61.2
Vietnam,Industrial Processes,All GHG,MtCO₂e,2004,11.23
Japan,Industrial Processes,All GHG,MtCO₂e,2004,54.94
World,Industrial Processes,All GHG,MtCO₂e,2003,1568.35
China,Industrial Processes,All GHG,MtCO₂e,2003,461.25
United States,Industrial Processes,All GHG,MtCO₂e,2003,191.49
India,Industrial Processes,All GHG,MtCO₂e,2003,62.51
European Union (27),Industrial Processes,All GHG,MtCO₂e,2003,212.32
Saudi Arabia,Industrial Processes,All GHG,MtCO₂e,2003,23.52
Thailand,Industrial Processes,All GHG,MtCO₂e,2003,23.83
South Korea,Industrial Processes,All GHG,MtCO₂e,2003,58.66
Vietnam,Industrial Processes,All GHG,MtCO₂e,2003,10.22
Japan,Industrial Processes,All GHG,MtCO₂e,2003,58.83
World,Industrial Processes,All GHG,MtCO₂e,2002,1474.4
China,Industrial Processes,All GHG,MtCO₂e,2002,373.39
United States,Industrial Processes,All GHG,MtCO₂e,2002,202.07
India,Industrial Processes,All GHG,MtCO₂e,2002,60.7
European Union (27),Industrial Processes,All GHG,MtCO₂e,2002,208.25
Saudi Arabia,Industrial Processes,All GHG,MtCO₂e,2002,22.45
Thailand,Industrial Processes,All GHG,MtCO₂e,2002,25.75
South Korea,Industrial Processes,All GHG,MtCO₂e,2002,52.81
Vietnam,Industrial Processes,All GHG,MtCO₂e,2002,9.05
Japan,Industrial Processes,All GHG,MtCO₂e,2002,59.63
World,Industrial Processes,All GHG,MtCO₂e,2001,1422.09
China,Industrial Processes,All GHG,MtCO₂e,2001,344.63
United States,Industrial Processes,All GHG,MtCO₂e,2001,192.09
India,Industrial Processes,All GHG,MtCO₂e,2001,58.29
European Union (27),Industrial Processes,All GHG,MtCO₂e,2001,208.85
Saudi Arabia,Industrial Processes,All GHG,MtCO₂e,2001,20.51
Thailand,Industrial Processes,All GHG,MtCO₂e,2001,23.14
South Korea,Industrial Processes,All GHG,MtCO₂e,2001,50.02
Vietnam,Industrial Processes,All GHG,MtCO₂e,2001,7.28
Japan,Industrial Processes,All GHG,MtCO₂e,2001,65.28
World,Industrial Processes,All GHG,MtCO₂e,2000,1396.22
China,Industrial Processes,All GHG,MtCO₂e,2000,301.37
United States,Industrial Processes,All GHG,MtCO₂e,2000,208.7
India,Industrial Processes,All GHG,MtCO₂e,2000,57.48
European Union (27),Industrial Processes,All GHG,MtCO₂e,2000,213.12
Saudi Arabia,Industrial Processes,All GHG,MtCO₂e,2000,18.64
Thailand,Industrial Processes,All GHG,MtCO₂e,2000,20.64
South Korea,Industrial Processes,All GHG,MtCO₂e,2000,47.51
Vietnam,Industrial Processes,All GHG,MtCO₂e,2000,6.26
Japan,Industrial Processes,All GHG,MtCO₂e,2000,75.16
World,Industrial Processes,All GHG,MtCO₂e,1999,1336.92
China,Industrial Processes,All GHG,MtCO₂e,1999,277.78
United States,Industrial Processes,All GHG,MtCO₂e,1999,206.14
India,Industrial Processes,All GHG,MtCO₂e,1999,55.06
European Union (27),Industrial Processes,All GHG,MtCO₂e,1999,209.91
Saudi Arabia,Industrial Processes,All GHG,MtCO₂e,1999,16.33
Thailand,Industrial Processes,All GHG,MtCO₂e,1999,20.6
South Korea,Industrial Processes,All GHG,MtCO₂e,1999,43.54
Vietnam,Industrial Processes,All GHG,MtCO₂e,1999,5.0
Japan,Industrial Processes,All GHG,MtCO₂e,1999,75.25
World,Industrial Processes,All GHG,MtCO₂e,1998,1327.81
China,Industrial Processes,All GHG,MtCO₂e,1998,253.39
United States,Industrial Processes,All GHG,MtCO₂e,1998,209.71
India,Industrial Processes,All GHG,MtCO₂e,1998,48.46
European Union (27),Industrial Processes,All GHG,MtCO₂e,1998,219.15
Saudi Arabia,Industrial Processes,All GHG,MtCO₂e,1998,14.62
Thailand,Industrial Processes,All GHG,MtCO₂e,1998,16.98
South Korea,Industrial Processes,All GHG,MtCO₂e,1998,39.75
Vietnam,Industrial Processes,All GHG,MtCO₂e,1998,4.61
Japan,Industrial Processes,All GHG,MtCO₂e,1998,84.17
World,Industrial Processes,All GHG,MtCO₂e,1997,1323.34
China,Industrial Processes,All GHG,MtCO₂e,1997,237.4
United States,Industrial Processes,All GHG,MtCO₂e,1997,198.51
India,Industrial Processes,All GHG,MtCO₂e,1997,45.8
European Union (27),Industrial Processes,All GHG,MtCO₂e,1997,235.44
Saudi Arabia,Industrial Processes,All GHG,MtCO₂e,1997,12.98
Thailand,Industrial Processes,All GHG,MtCO₂e,1997,22.22
South Korea,Industrial Processes,All GHG,MtCO₂e,1997,43.83
Vietnam,Industrial Processes,All GHG,MtCO₂e,1997,3.79
Japan,Industrial Processes,All GHG,MtCO₂e,1997,91.26
World,Industrial Processes,All GHG,MtCO₂e,1996,1273.84
China,Industrial Processes,All GHG,MtCO₂e,1996,219.9
United States,Industrial Processes,All GHG,MtCO₂e,1996,197.28
India,Industrial Processes,All GHG,MtCO₂e,1996,41.42
European Union (27),Industrial Processes,All GHG,MtCO₂e,1996,234.05
Saudi Arabia,Industrial Processes,All GHG,MtCO₂e,1996,12.02
Thailand,Industrial Processes,All GHG,MtCO₂e,1996,19.41
South Korea,Industrial Processes,All GHG,MtCO₂e,1996,39.19
Vietnam,Industrial Processes,All GHG,MtCO₂e,1996,3.1
Japan,Industrial Processes,All GHG,MtCO₂e,1996,93.17
World,Industrial Processes,All GHG,MtCO₂e,1995,1222.18
China,Industrial Processes,All GHG,MtCO₂e,1995,204.11
United States,Industrial Processes,All GHG,MtCO₂e,1995,187.54
India,Industrial Processes,All GHG,MtCO₂e,1995,37.39
European Union (27),Industrial Processes,All GHG,MtCO₂e,1995,228.43
Saudi Arabia,Industrial Processes,All GHG,MtCO₂e,1995,10.25
Thailand,Industrial Processes,All GHG,MtCO₂e,1995,16.58
South Korea,Industrial Processes,All GHG,MtCO₂e,1995,36.24
Vietnam,Industrial Processes,All GHG,MtCO₂e,1995,2.69
Japan,Industrial Processes,All GHG,MtCO₂e,1995,90.66
World,Industrial Processes,All GHG,MtCO₂e,1994,1149.02
China,Industrial Processes,All GHG,MtCO₂e,1994,180.08
United States,Industrial Processes,All GHG,MtCO₂e,1994,165.51
India,Industrial Processes,All GHG,MtCO₂e,1994,34.29
European Union (27),Industrial Processes,All GHG,MtCO₂e,1994,220.55
Saudi Arabia,Industrial Processes,All GHG,MtCO₂e,1994,9.48
Thailand,Industrial Processes,All GHG,MtCO₂e,1994,14.39
South Korea,Industrial Processes,All GHG,MtCO₂e,1994,33.72
Vietnam,Industrial Processes,All GHG,MtCO₂e,1994,2.19
Japan,Industrial Processes,All GHG,MtCO₂e,1994,84.71
World,Industrial Processes,All GHG,MtCO₂e,1993,1040.48
China,Industrial Processes,All GHG,MtCO₂e,1993,157.02
United States,Industrial Processes,All GHG,MtCO₂e,1993,160.57
India,Industrial Processes,All GHG,MtCO₂e,1993,31.9
European Union (27),Industrial Processes,All GHG,MtCO₂e,1993,208.1
Saudi Arabia,Industrial Processes,All GHG,MtCO₂e,1993,9.24
Thailand,Industrial Processes,All GHG,MtCO₂e,1993,12.89
South Korea,Industrial Processes,All GHG,MtCO₂e,1993,30.56
Vietnam,Industrial Processes,All GHG,MtCO₂e,1993,1.95
Japan,Industrial Processes,All GHG,MtCO₂e,1993,79.83
World,Industrial Processes,All GHG,MtCO₂e,1992,1023.75
China,Industrial Processes,All GHG,MtCO₂e,1992,135.16
United States,Industrial Processes,All GHG,MtCO₂e,1992,157.31
India,Industrial Processes,All GHG,MtCO₂e,1992,30.06
European Union (27),Industrial Processes,All GHG,MtCO₂e,1992,210.52
Saudi Arabia,Industrial Processes,All GHG,MtCO₂e,1992,8.86
Thailand,Industrial Processes,All GHG,MtCO₂e,1992,8.88
South Korea,Industrial Processes,All GHG,MtCO₂e,1992,26.21
Vietnam,Industrial Processes,All GHG,MtCO₂e,1992,1.86
Japan,Industrial Processes,All GHG,MtCO₂e,1992,79.54
World,Industrial Processes,All GHG,MtCO₂e,1991,1008.33
China,Industrial Processes,All GHG,MtCO₂e,1991,112.6
United States,Industrial Processes,All GHG,MtCO₂e,1991,154.31
India,Industrial Processes,All GHG,MtCO₂e,1991,29.0
European Union (27),Industrial Processes,All GHG,MtCO₂e,1991,203.59
Saudi Arabia,Industrial Processes,All GHG,MtCO₂e,1991,6.56
Thailand,Industrial Processes,All GHG,MtCO₂e,1991,6.45
South Korea,Industrial Processes,All GHG,MtCO₂e,1991,21.26
Vietnam,Industrial Processes,All GHG,MtCO₂e,1991,1.4
Japan,Industrial Processes,All GHG,MtCO₂e,1991,76.99
World,Industrial Processes,All GHG,MtCO₂e,1990,1003.53
China,Industrial Processes,All GHG,MtCO₂e,1990,94.35
United States,Industrial Processes,All GHG,MtCO₂e,1990,164.71
India,Industrial Processes,All GHG,MtCO₂e,1990,26.45
European Union (27),Industrial Processes,All GHG,MtCO₂e,1990,216.9
Saudi Arabia,Industrial Processes,All GHG,MtCO₂e,1990,6.47
Thailand,Industrial Processes,All GHG,MtCO₂e,1990,6.74
South Korea,Industrial Processes,All GHG,MtCO₂e,1990,17.16
Vietnam,Industrial Processes,All GHG,MtCO₂e,1990,1.16
Japan,Industrial Processes,All GHG,MtCO₂e,1990,73.3
